Reporting area,MMWR Year,MMWR Quarter,"Tuberculosis†, Current quarter","Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2016","Tuberculosis†, Cum 2016, flag","Tuberculosis†, Cum 2015","Tuberculosis†, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,1289,,1289,,2717,,1289,,1305,,,
NEW ENGLAND,2016,1,40,,40,,90,,40,,41,,,
CONNECTICUT,2016,1,4,,4,,24,,4,,9,,,
MAINE,2016,1,5,,3,,7,,5,,1,,,
MASSACHUSETTS,2016,1,28,,28,,56,,28,,26,,,
NEW HAMPSHIRE,2016,1,,-,0,,4,,,-,2,,,
RHODE ISLAND,2016,1,3,,3,,13,,3,,1,,,
VERMONT,2016,1,,-,0,,2,,,-,2,,,
MID. ATLANTIC,2016,1,224,,224,,364,,224,,181,,,
NEW JERSEY,2016,1,38,,38,,118,,38,,20,,,
NEW YORK,2016,1,31,,31,,63,,31,,23,,,
NEW YORK CITY,2016,1,130,,118,,159,,130,,112,,,
PENNSYLVANIA,2016,1,25,,25,,61,,25,,26,,,
E.N. CENTRAL,2016,1,121,,121,,253,,121,,110,,,
ILLINOIS,2016,1,53,,53,,113,,53,,48,,,
INDIANA,2016,1,21,,21,,35,,21,,16,,,
MICHIGAN,2016,1,22,,22,,43,,22,,13,,,
OHIO,2016,1,21,,21,,46,,21,,20,,,
WISCONSIN,2016,1,4,,4,,19,,4,,13,,,
W.N. CENTRAL,2016,1,41,,41,,95,,41,,61,,,
IOWA,2016,1,,-,0,,11,,,-,9,,,
KANSAS,2016,1,,-,0,,10,,,-,5,,,
MINNESOTA,2016,1,25,,25,,57,,25,,12,,,
MISSOURI,2016,1,5,,5,,24,,5,,24,,,
NEBRASKA,2016,1,,-,0,,9,,,-,8,,,
NORTH DAKOTA,2016,1,7,,0,,7,,7,,,-,,
SOUTH DAKOTA,2016,1,4,,3,,6,,4,,3,,,
S. ATLANTIC,2016,1,231,,231,,471,,231,,216,,,
DELAWARE,2016,1,2,,2,,7,,2,,6,,,
DIST. OF COL.,2016,1,1,,1,,13,,1,,6,,,
FLORIDA,2016,1,88,,88,,180,,88,,105,,,
GEORGIA,2016,1,54,,54,,87,,54,,47,,,
MARYLAND,2016,1,27,,27,,57,,27,,9,,,
NORTH CAROLINA,2016,1,21,,21,,77,,21,,15,,,
SOUTH CAROLINA,2016,1,13,,13,,34,,13,,13,,,
VIRGINIA,2016,1,23,,23,,75,,23,,13,,,
E.S. CENTRAL,2016,1,55,,55,,117,,55,,52,,,
ALABAMA,2016,1,26,,26,,32,,26,,20,,,
KENTUCKY,2016,1,3,,3,,27,,3,,,-,,
MISSISSIPPI,2016,1,10,,10,,28,,10,,11,,,
TENNESSEE,2016,1,16,,16,,40,,16,,21,,,
W.S. CENTRAL,2016,1,213,,213,,430,,213,,264,,,
ARKANSAS,2016,1,12,,12,,27,,12,,19,,,
LOUISIANA,2016,1,5,,5,,51,,5,,3,,,
OKLAHOMA,2016,1,13,,13,,18,,13,,7,,,
TEXAS,2016,1,183,,183,,357,,183,,235,,,
MOUNTAIN,2016,1,23,,23,,183,,23,,35,,,
ARIZONA,2016,1,,-,0,,122,,,-,2,,,
COLORADO,2016,1,9,,9,,20,,9,,8,,,
IDAHO,2016,1,1,,1,,5,,1,,1,,,
MONTANA,2016,1,,-,0,,3,,,-,1,,,
NEVADA,2016,1,6,,6,,32,,6,,10,,,
NEW MEXICO,2016,1,1,,1,,13,,1,,10,,,
UTAH,2016,1,5,,5,,14,,5,,3,,,
WYOMING,2016,1,1,,0,,2,,1,,,-,,
PACIFIC,2016,1,341,,341,,738,,341,,345,,,
ALASKA,2016,1,10,,10,,19,,10,,12,,,
CALIFORNIA,2016,1,260,,260,,617,,260,,259,,,
HAWAII,2016,1,21,,21,,35,,21,,26,,,
OREGON,2016,1,16,,16,,23,,16,,16,,,
WASHINGTON,2016,1,34,,34,,61,,34,,32,,,
AMER. SAMOA,2016,1,,-,0,,3,,,-,1,,,
C.N.M.I.,2016,1,6,,3,,10,,6,,3,,,
GUAM,2016,1,1,,1,,21,,1,,11,,,
PUERTO RICO,2016,1,8,,8,,19,,8,,6,,,
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,
WEST VIRGINIA,2016,1,2,,0,,5,,2,,2,,"WEST, VIRGINIA
(37.777076, -79.001402)",
UNITED STATES,2016,2,1612,,1612,,2734,,3339,,4470,,,
NEW ENGLAND,2016,2,42,,42,,83,,87,,164,,,
MID. ATLANTIC,2016,2,293,,239,,364,,532,,558,,,
NEW YORK CITY,2016,2,153,,122,,158,,275,,277,,"NEW YORK CITY
",
E.N. CENTRAL,2016,2,82,,82,,254,,215,,373,,,
W.N. CENTRAL,2016,2,67,,67,,108,,134,,185,,,
S. ATLANTIC,2016,2,338,,323,,473,,661,,750,,,
DIST. OF COL.,2016,2,6,,5,,13,,17,,15,,"DIST. OF COL.
",
E.S. CENTRAL,2016,2,103,,55,,117,,158,,192,,,
W.S. CENTRAL,2016,2,261,,261,,418,,607,,828,,,
MOUNTAIN,2016,2,36,,28,,183,,64,,161,,,
PACIFIC,2016,2,390,,390,,736,,881,,1259,,,
AMER. SAMOA,2016,2,,-,0,,3,,,-,1,,"AMER. SAMOA
",
C.N.M.I.,2016,2,1,,1,,10,,8,,8,,"C.N.M.I.
",
VIRGIN ISL.,2016,2,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
WISCONSIN,2016,2,,-,0,,19,,4,,34,,"WISCONSIN
(44.395526, -89.834513)",
INDIANA,2016,2,29,,21,,35,,50,,57,,"INDIANA
(39.76845, -86.156212)",
GUAM,2016,2,,-,0,,19,,5,,41,,"GUAM
(13.3532, 144.653198)",
VIRGINIA,2016,2,51,,25,,76,,76,,78,,"VIRGINIA
(37.542699, -78.45822)",
WYOMING,2016,2,,-,0,,2,,1,,2,,"WYOMING
(43.23558, -108.110518)",
MASSACHUSETTS,2016,2,25,,25,,56,,55,,90,,"MASSACHUSETTS
(42.268546, -72.085064)",
FLORIDA,2016,2,100,,100,,180,,234,,282,,"FLORIDA
(28.915325, -81.922409)",
NEW HAMPSHIRE,2016,2,,-,0,,4,,,-,7,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW YORK,2016,2,48,,36,,63,,84,,75,,"NEW YORK
(42.826892, -75.544286)",
MISSISSIPPI,2016,2,13,,10,,28,,23,,32,,"MISSISSIPPI
(32.738663, -89.537312)",
OKLAHOMA,2016,2,26,,15,,26,,41,,32,,"OKLAHOMA
(35.468494, -97.521264)",
KENTUCKY,2016,2,30,,3,,30,,33,,29,,"KENTUCKY
(37.64591, -84.774043)",
LOUISIANA,2016,2,12,,12,,51,,33,,42,,"LOUISIANA
(31.2931, -92.463284)",
NEVADA,2016,2,10,,6,,32,,16,,35,,"NEVADA
(39.491833, -117.070159)",
NEW JERSEY,2016,2,62,,38,,118,,100,,113,,"NEW JERSEY
(40.104655, -74.386686)",
MAINE,2016,2,5,,3,,7,,10,,8,,"MAINE
(45.252223, -68.986647)",
IOWA,2016,2,5,,5,,12,,17,,23,,"IOWA
(42.46942, -93.815856)",
CONNECTICUT,2016,2,7,,7,,16,,14,,41,,"CONNECTICUT
(41.544654, -72.651713)",
MARYLAND,2016,2,60,,26,,60,,86,,74,,"MARYLAND
(39.290443, -76.612333)",
SOUTH CAROLINA,2016,2,29,,16,,29,,45,,55,,"SOUTH CAROLINA
(34.009286, -81.037094)",
WASHINGTON,2016,2,43,,37,,54,,80,,108,,"WASHINGTON
(47.517368, -120.467672)",
GEORGIA,2016,2,54,,54,,83,,128,,160,,"GEORGIA
(32.836038, -83.631709)",
UTAH,2016,2,4,,4,,14,,8,,14,,"UTAH
(39.359772, -111.584173)",
RHODE ISLAND,2016,2,5,,3,,10,,8,,15,,"RHODE ISLAND
(41.707447, -71.522488)",
